step,reward,loss,q_value,epsilon
10,21.77,1.3801,5.86,0.988
20,17.22,1.3822,6.56,0.975
30,26.88,1.3401,7.58,0.962
40,37.43,1.2726,8.05,0.95
50,21.66,1.2617,6.12,0.938
60,23.46,1.2483,7.06,0.925
70,43.39,1.2821,9.02,0.912
80,37.07,1.1576,9.51,0.9
90,26.51,1.1241,10.02,0.888
100,38.43,1.0711,13.85,0.875
110,30.17,0.9436,11.07,0.862
120,31.94,1.0042,12.14,0.85
130,40.82,0.9755,12.45,0.838
140,21.07,1.0638,12.65,0.825
150,24.75,0.9002,12.18,0.812
160,38.18,0.895,13.76,0.8
170,35.47,0.8494,12.73,0.788
180,50.54,0.7648,13.76,0.775
190,40.12,0.8534,14.01,0.762
200,36.88,0.8077,15.08,0.75
210,67.46,0.7844,17.81,0.738
220,52.34,0.675,14.13,0.725
230,57.08,0.767,17.19,0.712
240,43.95,0.6039,15.39,0.7
250,54.56,0.6812,17.03,0.688
260,62.91,0.74,19.09,0.675
270,52.09,0.5603,18.56,0.662
280,69.16,0.5615,17.92,0.65
290,61.19,0.5755,18.78,0.638
300,66.08,0.5266,20.68,0.625
310,64.78,0.4562,19.77,0.612
320,91.12,0.5197,21.22,0.6
330,74.27,0.4462,21.55,0.588
340,65.62,0.5066,21.35,0.575
350,86.23,0.4211,24.64,0.562
360,67.59,0.5293,23.63,0.55
370,83.69,0.3978,21.47,0.538
380,63.8,0.4066,24.19,0.525
390,71.92,0.4495,23.84,0.512
400,88.97,0.3339,25.85,0.5
410,96.18,0.3938,24.71,0.488
420,92.31,0.4353,25.89,0.475
430,91.24,0.2774,27.0,0.462
440,91.19,0.3553,27.87,0.45
450,81.21,0.3477,26.3,0.438
460,90.6,0.3628,27.67,0.425
470,94.99,0.2513,28.03,0.412
480,111.97,0.2368,28.35,0.4
490,106.64,0.319,31.27,0.387
500,87.37,0.2982,30.4,0.375
510,110.04,0.2865,29.24,0.363
520,104.75,0.2824,31.92,0.35
530,103.63,0.2224,33.62,0.338
540,118.32,0.2596,33.03,0.325
550,124.31,0.2545,30.98,0.312
560,125.11,0.1962,32.52,0.3
570,109.21,0.3176,34.77,0.288
580,116.31,0.2407,33.29,0.275
590,124.51,0.1503,34.94,0.262
600,132.76,0.2358,35.77,0.25
610,120.01,0.1476,34.57,0.238
620,124.74,0.2293,35.94,0.225
630,117.34,0.2416,33.26,0.213
640,118.24,0.1366,35.98,0.2
650,140.13,0.22,37.25,0.188
660,147.36,0.1868,36.75,0.175
670,134.88,0.2019,40.13,0.162
680,147.44,0.2503,37.57,0.15
690,142.82,0.1381,39.06,0.137
700,134.55,0.1078,40.13,0.125
710,146.41,0.0962,41.94,0.113
720,159.98,0.0953,39.56,0.1
730,146.04,0.1278,42.66,0.088
740,163.85,0.1444,42.01,0.075
750,123.8,0.137,41.52,0.062
760,160.02,0.1605,43.46,0.05
770,154.47,0.1158,43.7,0.037
780,152.41,0.1841,43.4,0.025
790,158.12,0.0945,44.57,0.012
800,139.12,0.2402,44.61,0.01
810,158.6,0.1321,45.61,0.01
820,166.17,0.0546,46.66,0.01
830,179.18,0.0408,48.09,0.01
840,161.02,0.1153,45.76,0.01
850,159.92,0.0771,49.63,0.01
860,164.78,0.121,46.05,0.01
870,180.75,0.1062,48.35,0.01
880,176.69,0.0762,49.59,0.01
890,169.9,0.0349,49.78,0.01
900,182.13,0.01,49.38,0.01
910,179.77,0.0499,50.29,0.01
920,190.29,0.1127,50.51,0.01
930,175.38,0.0783,50.91,0.01
940,180.92,0.01,52.85,0.01
950,182.08,0.0719,52.86,0.01
960,173.16,0.0804,52.31,0.01
970,192.56,0.0149,54.4,0.01
980,194.01,0.0649,54.31,0.01
990,193.25,0.0582,55.31,0.01
1000,192.65,0.01,55.63,0.01
