step,reward,actor_loss,critic_loss,entropy
10,26.06,0.0283,1.0018,0.6994
20,45.86,0.0664,0.8937,0.6481
30,33.87,0.0342,0.8696,0.6473
40,44.44,0.0819,0.8577,0.6728
50,34.76,0.0781,0.8069,0.6792
60,37.65,0.0829,0.791,0.6748
70,46.44,0.0808,0.7444,0.6587
80,49.21,0.0668,0.7183,0.6334
90,43.9,0.0295,0.6849,0.6295
100,28.06,0.0599,0.6926,0.6453
110,47.86,0.0679,0.6385,0.6493
120,56.88,0.0595,0.5795,0.6126
130,53.79,0.0477,0.5909,0.6116
140,59.45,0.0531,0.5529,0.6083
150,60.16,0.0578,0.5921,0.6163
160,48.72,0.0295,0.5382,0.5913
170,69.46,0.0636,0.5447,0.6048
180,59.96,0.0611,0.4901,0.6043
190,62.79,0.0474,0.4953,0.6053
200,73.73,0.0634,0.4723,0.5992
210,65.35,0.0733,0.4485,0.5601
220,75.49,0.0297,0.3626,0.5813
230,68.75,0.0794,0.4045,0.584
240,76.3,0.0703,0.4237,0.5563
250,77.01,0.0701,0.3683,0.5572
260,78.5,0.0699,0.3886,0.588
270,77.87,0.0643,0.3252,0.5157
280,86.24,0.05,0.3171,0.5934
290,89.77,0.0353,0.3341,0.5695
300,98.41,0.0602,0.2588,0.534
310,88.61,0.0527,0.3396,0.5676
320,95.82,0.0361,0.2698,0.5108
330,115.26,0.0852,0.3065,0.5356
340,102.93,0.0668,0.2387,0.4923
350,105.86,0.0438,0.2691,0.5466
360,107.67,0.0185,0.2245,0.4973
370,92.77,0.0332,0.1815,0.5225
380,106.65,0.0598,0.206,0.5044
390,93.68,0.0448,0.2067,0.4878
400,119.89,0.0237,0.2163,0.4794
410,128.8,0.0553,0.1703,0.536
420,113.17,0.0468,0.202,0.4668
430,133.71,0.0419,0.1713,0.4859
440,112.83,0.0251,0.1127,0.4839
450,114.46,0.0567,0.1948,0.4883
460,130.62,0.0285,0.1912,0.4825
470,121.87,0.0457,0.1419,0.4333
480,126.63,0.0732,0.141,0.4502
490,141.49,0.0749,0.1251,0.4589
500,127.2,0.0474,0.1467,0.4466
510,134.94,-0.0116,0.1123,0.4216
520,138.46,0.0651,0.1499,0.4211
530,144.63,0.0314,0.1157,0.4243
540,149.66,0.0221,0.0764,0.3977
550,145.17,0.0648,0.1314,0.4146
560,138.61,0.013,0.1206,0.4222
570,158.48,0.0642,0.0468,0.4163
580,175.6,0.0681,0.1038,0.4106
590,161.36,0.0601,0.1113,0.3775
600,161.48,0.0542,0.0879,0.3577
610,156.19,0.0478,0.0728,0.3922
620,159.38,0.0403,0.1206,0.3659
630,152.48,0.0284,0.0606,0.3831
640,170.74,0.0974,0.1296,0.4019
650,166.91,0.0411,0.0526,0.3692
660,180.5,0.0315,0.0996,0.3558
670,164.1,0.0481,0.1227,0.3405
680,185.51,0.0616,0.0274,0.3313
690,174.32,0.0704,0.0776,0.3709
700,174.11,0.0454,0.0392,0.2915
710,177.34,0.0462,0.0825,0.3314
720,178.53,0.034,0.0992,0.354
730,168.89,0.0449,0.1072,0.3049
740,192.91,0.0673,0.0826,0.3188
750,196.19,0.0488,0.0398,0.3097
760,200.0,0.0427,0.0695,0.3216
770,200.0,0.0534,0.125,0.3341
780,200.0,0.0344,0.082,0.2914
790,185.37,0.0069,0.1094,0.275
800,200.0,0.0403,0.0757,0.2771
810,194.13,-0.0098,0.005,0.3242
820,200.0,0.0447,0.03,0.3196
830,200.0,0.0582,0.0581,0.2836
840,200.0,0.0698,0.0073,0.2824
850,191.09,0.0606,0.0548,0.2525
860,200.0,0.0507,0.005,0.2804
870,200.0,0.0295,0.0294,0.2501
880,200.0,0.028,0.0481,0.2331
890,200.0,0.0458,0.005,0.2501
900,200.0,0.0327,0.0448,0.234
910,200.0,0.0308,0.0544,0.2394
920,200.0,0.0509,0.0543,0.2295
930,200.0,0.033,0.005,0.2321
940,200.0,0.0137,0.005,0.2226
950,200.0,0.0456,0.058,0.2526
960,200.0,0.031,0.0571,0.2251
970,200.0,0.0604,0.005,0.1984
980,200.0,0.0759,0.005,0.2107
990,200.0,0.0652,0.0497,0.1834
1000,200.0,0.0587,0.005,0.19
