Episode,Steps,TotalReward,Result,Final_X,Final_Y,UnsafeActions,SAP_Plan
1,41,-65.26,Collision,6.42,1.65,0,None
2,19,-63.18,Collision,2.18,1.83,0,None
3,8,-56.7,Collision,8.21,3.23,0,None
4,40,-57.16,Collision,2.11,2.68,0,None
5,25,-52.23,Collision,2.89,2.0,0,None
6,28,-58.25,Collision,7.44,2.63,0,None
7,21,-47.31,Collision,2.32,3.08,0,None
8,13,-53.32,Collision,6.98,3.74,0,None
9,42,-58.3,Collision,8.8,2.74,0,None
10,23,-55.57,Collision,8.1,1.7,0,None
11,46,-58.53,Collision,6.97,3.24,0,None
12,38,-54.08,Collision,8.71,3.33,0,None
13,26,-51.87,Collision,5.01,1.6,0,None
14,41,75.01,Goal,10.93,2.8,0,None
15,22,-46.78,Collision,8.51,3.46,0,None
16,17,-58.88,Collision,3.04,2.39,0,None
17,50,-59.6,Collision,8.58,3.34,0,None
18,31,-57.57,Collision,7.83,1.71,0,None
19,41,-63.44,Collision,7.92,2.0,0,None
20,17,-53.78,Collision,2.87,3.86,0,None
21,31,-59.9,Collision,6.18,2.97,0,None
22,41,-57.84,Collision,2.11,3.32,0,None
23,26,-53.18,Collision,7.05,3.07,0,None
24,40,-50.64,Collision,2.05,1.61,0,None
25,19,-52.26,Collision,2.59,2.41,0,None
26,16,-56.26,Collision,3.58,3.43,0,None
27,33,-58.56,Collision,8.13,3.03,0,None
28,46,77.7,Goal,11.18,3.09,0,None
29,55,72.97,Goal,11.13,2.97,0,None
30,10,-44.7,Collision,5.98,2.47,0,None
31,55,79.48,Goal,10.57,2.84,0,None
32,55,-62.79,Collision,3.58,1.63,0,None
33,49,72.76,Goal,11.37,2.73,0,None
34,30,-68.79,Collision,4.09,2.26,0,None
35,51,71.76,Goal,11.17,3.1,0,None
36,35,77.61,Goal,10.74,2.91,0,None
37,53,71.73,Goal,10.55,2.65,0,None
38,13,-50.64,Collision,8.53,3.8,0,None
39,25,-54.11,Collision,6.11,1.94,0,None
40,59,70.35,Goal,11.02,2.93,0,None
41,44,79.0,Goal,11.13,2.97,0,None
42,54,72.37,Goal,10.97,3.37,0,None
43,58,71.99,Goal,11.0,2.9,0,None
44,52,57.84,Goal,11.16,2.99,0,None
45,16,-54.55,Collision,3.39,1.12,0,None
46,47,75.95,Goal,10.99,3.08,0,None
47,65,65.79,Goal,10.98,2.97,0,None
48,9,-52.89,Collision,4.61,2.85,0,None
49,47,80.02,Goal,10.88,3.27,0,None
50,45,74.51,Goal,11.05,2.69,0,None
51,50,86.0,Goal,11.11,2.9,0,None
52,55,75.94,Goal,11.04,2.91,0,None
53,62,68.97,Goal,11.16,3.19,0,None
54,47,75.47,Goal,10.89,2.93,0,None
55,56,71.57,Goal,11.21,2.62,0,None
56,53,68.92,Goal,10.77,3.02,0,None
57,53,73.02,Goal,10.68,2.99,0,None
58,45,78.89,Goal,10.86,3.04,0,None
59,42,81.9,Goal,11.27,2.79,0,None
60,41,82.4,Goal,10.95,3.34,0,None
61,43,77.13,Goal,11.14,2.94,0,None
62,52,66.92,Goal,10.72,2.96,0,None
63,56,68.65,Goal,11.16,2.82,0,None
64,52,82.06,Goal,10.88,2.81,0,None
65,45,81.98,Goal,10.78,2.76,0,None
66,64,69.85,Goal,11.15,2.92,0,None
67,62,65.19,Goal,10.93,2.81,0,None
68,47,76.52,Goal,11.11,3.41,0,None
69,43,72.22,Goal,11.17,2.62,0,None
70,51,71.74,Goal,10.98,2.77,0,None
71,60,68.77,Goal,11.1,2.92,0,None
72,52,72.19,Goal,10.9,3.13,0,None
73,54,77.78,Goal,10.94,2.92,0,None
74,48,68.91,Goal,10.84,3.14,0,None
75,53,69.17,Goal,10.91,2.8,0,None
76,62,62.13,Goal,11.04,3.01,0,None
77,48,69.81,Goal,10.84,3.35,0,None
78,51,75.12,Goal,11.19,2.81,0,None
79,52,66.0,Goal,10.6,3.08,0,None
80,52,77.77,Goal,11.12,3.04,0,None
