Episode,Steps,TotalReward,Result,Final_X,Final_Y,UnsafeActions,SAP_Plan
1,23,-27.13,Collision,8.5,2.1,3,Plan_A_1
2,43,-32.2,Collision,8.5,2.1,2,Plan_A_2
3,47,83.72,Goal,11.0,3.0,2,Plan_A_0
4,31,-28.06,Collision,8.5,2.1,2,Plan_A_1
5,33,-34.54,Collision,8.5,2.1,3,Plan_A_2
6,35,-35.04,Collision,8.5,2.1,2,Plan_A_0
7,39,-35.24,Collision,8.5,2.1,3,Plan_A_1
8,38,-35.1,Collision,8.5,2.1,2,Plan_A_2
9,31,-31.61,Collision,8.5,2.1,1,Plan_A_0
10,29,-31.55,Collision,8.5,2.1,2,Plan_A_1
11,51,72.9,Goal,11.0,3.0,1,Plan_A_2
12,46,69.69,Goal,11.0,3.0,1,Plan_A_0
13,31,-34.91,Collision,8.5,2.1,3,Plan_A_1
14,50,-33.56,Collision,8.5,2.1,2,Plan_A_2
15,36,-33.01,Collision,8.5,2.1,3,Plan_A_0
16,37,-29.09,Collision,8.5,2.1,1,Plan_A_1
17,42,-34.49,Collision,8.5,2.1,1,Plan_A_2
18,40,-37.66,Collision,8.5,2.1,1,Plan_A_0
19,55,69.11,Goal,11.0,3.0,1,Plan_A_1
20,47,81.55,Goal,11.0,3.0,1,Plan_A_2
21,50,74.91,Goal,11.0,3.0,2,Plan_A_0
22,43,74.62,Goal,11.0,3.0,0,None
23,50,77.46,Goal,11.0,3.0,0,None
24,36,78.03,Goal,11.0,3.0,1,Plan_A_0
25,43,75.88,Goal,11.0,3.0,1,Plan_A_1
26,23,-34.68,Collision,8.5,2.1,0,None
27,44,74.57,Goal,11.0,3.0,2,Plan_A_0
28,55,72.35,Goal,11.0,3.0,1,Plan_A_1
29,46,77.85,Goal,11.0,3.0,2,Plan_A_2
30,43,68.37,Goal,11.0,3.0,1,Plan_A_0
31,43,81.43,Goal,11.0,3.0,0,None
32,48,81.11,Goal,11.0,3.0,0,None
33,48,77.92,Goal,11.0,3.0,0,None
34,53,76.33,Goal,11.0,3.0,2,Plan_A_1
35,53,76.57,Goal,11.0,3.0,0,None
36,49,70.71,Goal,11.0,3.0,0,None
37,50,78.45,Goal,11.0,3.0,0,None
38,50,66.57,Goal,11.0,3.0,0,None
39,46,74.72,Goal,11.0,3.0,1,Plan_A_0
40,45,74.99,Goal,11.0,3.0,0,None
41,46,75.49,Goal,11.0,3.0,0,None
42,44,82.03,Goal,11.0,3.0,0,None
43,55,77.52,Goal,11.0,3.0,0,None
44,53,69.29,Goal,11.0,3.0,1,Plan_A_2
45,44,76.33,Goal,11.0,3.0,0,None
46,52,77.46,Goal,11.0,3.0,0,None
47,51,70.72,Goal,11.0,3.0,1,Plan_A_2
48,50,75.02,Goal,11.0,3.0,0,None
49,41,82.0,Goal,11.0,3.0,0,None
50,38,85.36,Goal,11.0,3.0,0,None
51,52,75.05,Goal,11.0,3.0,0,None
52,53,79.24,Goal,11.0,3.0,1,Plan_A_1
53,50,75.07,Goal,11.0,3.0,0,None
54,56,70.92,Goal,11.0,3.0,0,None
55,47,75.62,Goal,11.0,3.0,0,None
56,48,72.2,Goal,11.0,3.0,0,None
57,53,73.03,Goal,11.0,3.0,0,None
58,50,79.59,Goal,11.0,3.0,0,None
59,49,80.3,Goal,11.0,3.0,0,None
60,35,76.12,Goal,11.0,3.0,0,None
61,47,79.36,Goal,11.0,3.0,0,None
62,47,75.19,Goal,11.0,3.0,0,None
63,47,72.3,Goal,11.0,3.0,1,Plan_A_0
64,45,76.69,Goal,11.0,3.0,0,None
65,43,75.9,Goal,11.0,3.0,1,Plan_A_2
66,50,67.44,Goal,11.0,3.0,0,None
67,45,76.75,Goal,11.0,3.0,0,None
68,49,75.26,Goal,11.0,3.0,0,None
69,50,73.87,Goal,11.0,3.0,1,Plan_A_0
70,60,70.25,Goal,11.0,3.0,0,None
71,47,76.48,Goal,11.0,3.0,0,None
72,48,75.13,Goal,11.0,3.0,1,Plan_A_0
73,45,76.38,Goal,11.0,3.0,0,None
74,53,72.78,Goal,11.0,3.0,0,None
75,48,77.09,Goal,11.0,3.0,0,None
76,45,74.79,Goal,11.0,3.0,0,None
77,55,70.05,Goal,11.0,3.0,0,None
78,42,77.71,Goal,11.0,3.0,0,None
79,48,78.72,Goal,11.0,3.0,0,None
80,39,78.91,Goal,11.0,3.0,0,None
