Episode,Steps,TotalReward,Result,Final_X,Final_Y,UnsafeActions,SAP_Plan
1,21,-29.66,Collision,9.0,2.5,3,Plan_B_1
2,28,-30.92,Collision,9.0,2.5,1,Plan_B_0
3,22,-26.86,Collision,9.0,2.5,1,Plan_B_1
4,34,-27.24,Collision,9.0,2.5,1,Plan_B_0
5,31,-27.06,Collision,9.0,2.5,2,Plan_B_1
6,47,72.94,Goal,11.0,3.0,1,Plan_B_0
7,36,-27.9,Collision,9.0,2.5,0,None
8,31,-29.41,Collision,9.0,2.5,1,Plan_B_0
9,50,72.81,Goal,11.0,3.0,1,Plan_B_1
10,16,-26.47,Collision,9.0,2.5,1,Plan_B_0
11,38,-32.62,Collision,9.0,2.5,1,Plan_B_1
12,52,72.99,Goal,11.0,3.0,1,Plan_B_0
13,55,77.97,Goal,11.0,3.0,0,None
14,51,76.06,Goal,11.0,3.0,0,None
15,25,-31.48,Collision,9.0,2.5,0,None
16,48,78.26,Goal,11.0,3.0,1,Plan_B_0
17,21,-25.87,Collision,9.0,2.5,0,None
18,59,73.93,Goal,11.0,3.0,1,Plan_B_0
19,58,70.14,Goal,11.0,3.0,0,None
20,52,72.74,Goal,11.0,3.0,0,None
21,54,71.59,Goal,11.0,3.0,1,Plan_B_1
22,49,73.26,Goal,11.0,3.0,0,None
23,58,70.88,Goal,11.0,3.0,0,None
24,57,70.56,Goal,11.0,3.0,0,None
25,54,68.8,Goal,11.0,3.0,0,None
26,49,70.0,Goal,11.0,3.0,0,None
27,51,67.65,Goal,11.0,3.0,1,Plan_B_1
28,46,75.26,Goal,11.0,3.0,0,None
29,57,72.12,Goal,11.0,3.0,0,None
30,51,69.27,Goal,11.0,3.0,1,Plan_B_0
31,51,69.66,Goal,11.0,3.0,0,None
32,49,74.85,Goal,11.0,3.0,1,Plan_B_0
33,56,65.73,Goal,11.0,3.0,1,Plan_B_1
34,55,66.54,Goal,11.0,3.0,0,None
35,55,72.54,Goal,11.0,3.0,0,None
36,59,64.98,Goal,11.0,3.0,0,None
37,47,74.28,Goal,11.0,3.0,0,None
38,53,70.17,Goal,11.0,3.0,0,None
39,51,74.85,Goal,11.0,3.0,1,Plan_B_1
40,52,74.14,Goal,11.0,3.0,0,None
41,53,70.85,Goal,11.0,3.0,0,None
42,49,68.12,Goal,11.0,3.0,0,None
43,45,74.07,Goal,11.0,3.0,0,None
44,48,72.81,Goal,11.0,3.0,0,None
45,55,72.12,Goal,11.0,3.0,0,None
46,54,71.62,Goal,11.0,3.0,0,None
47,57,71.78,Goal,11.0,3.0,0,None
48,53,73.46,Goal,11.0,3.0,0,None
49,53,70.4,Goal,11.0,3.0,0,None
50,53,73.35,Goal,11.0,3.0,1,Plan_B_0
51,47,68.52,Goal,11.0,3.0,0,None
52,49,71.64,Goal,11.0,3.0,0,None
53,55,70.5,Goal,11.0,3.0,0,None
54,56,69.57,Goal,11.0,3.0,0,None
55,56,70.42,Goal,11.0,3.0,0,None
56,49,73.13,Goal,11.0,3.0,0,None
57,47,73.73,Goal,11.0,3.0,0,None
58,50,69.05,Goal,11.0,3.0,0,None
59,51,70.05,Goal,11.0,3.0,0,None
60,53,69.36,Goal,11.0,3.0,1,Plan_B_0
61,46,76.5,Goal,11.0,3.0,0,None
62,55,72.14,Goal,11.0,3.0,0,None
63,52,72.66,Goal,11.0,3.0,0,None
64,50,71.37,Goal,11.0,3.0,0,None
65,57,71.26,Goal,11.0,3.0,0,None
66,53,78.02,Goal,11.0,3.0,0,None
67,50,68.36,Goal,11.0,3.0,0,None
68,49,75.49,Goal,11.0,3.0,0,None
69,46,75.84,Goal,11.0,3.0,0,None
70,50,74.43,Goal,11.0,3.0,0,None
71,60,66.17,Goal,11.0,3.0,0,None
72,43,75.9,Goal,11.0,3.0,0,None
73,41,78.27,Goal,11.0,3.0,0,None
74,58,70.93,Goal,11.0,3.0,0,None
75,51,66.14,Goal,11.0,3.0,0,None
76,55,76.95,Goal,11.0,3.0,0,None
77,48,68.67,Goal,11.0,3.0,0,None
78,50,71.37,Goal,11.0,3.0,0,None
79,57,68.12,Goal,11.0,3.0,0,None
80,44,72.21,Goal,11.0,3.0,0,None
