Task_ID,Task_Episode,Total_Episode,Goal_X,Goal_Y,Steps,TotalReward,Result,Final_X,Final_Y,Is_Converged,Acquired_Policies,UnsafeActions,SAP_Plan
1,1,1,11.0,3.0,40,-33.09,Collision,8.66,0.38,False,0,1,Plan_T1
1,2,2,11.0,3.0,39,-34.78,Collision,7.77,0.51,False,0,2,Plan_T1
1,3,3,11.0,3.0,26,-34.69,Collision,8.42,1.14,False,0,2,Plan_T1
1,4,4,11.0,3.0,37,-41.66,Collision,6.25,0.39,False,0,2,Plan_T1
1,5,5,11.0,3.0,21,-42.0,Collision,8.92,1.92,False,0,1,Plan_T1
1,6,6,11.0,3.0,22,-43.65,Collision,7.51,0.69,False,0,1,Plan_T1
1,7,7,11.0,3.0,29,-43.05,Collision,7.01,0.23,False,0,0,
1,8,8,11.0,3.0,27,-44.46,Collision,8.17,0.25,False,0,0,
1,9,9,11.0,3.0,48,79.54,Goal,10.89,2.91,False,0,1,Plan_T1
1,10,10,11.0,3.0,24,-36.98,Collision,7.68,0.77,False,0,1,Plan_T1
1,11,11,11.0,3.0,15,-41.71,Collision,7.56,0.43,False,0,0,
1,12,12,11.0,3.0,51,76.9,Goal,10.66,2.97,False,0,1,Plan_T1
1,13,13,11.0,3.0,11,-40.43,Collision,6.21,0.52,False,0,0,
1,14,14,11.0,3.0,50,88.59,Goal,11.45,3.69,False,0,0,
1,15,15,11.0,3.0,42,76.58,Goal,10.94,3.16,False,0,0,
1,16,16,11.0,3.0,37,89.91,Goal,10.88,2.9,False,0,1,Plan_T1
1,17,17,11.0,3.0,44,88.01,Goal,11.06,2.98,False,0,0,
1,18,18,11.0,3.0,50,77.54,Goal,11.04,2.83,False,0,0,
1,19,19,11.0,3.0,55,76.82,Goal,10.98,2.66,False,0,0,
1,20,20,11.0,3.0,43,82.93,Goal,10.97,3.32,True,1,0,
1,21,21,11.0,3.0,39,81.6,Goal,10.68,3.23,False,1,0,
1,22,22,11.0,3.0,53,80.0,Goal,11.25,3.05,False,1,0,
1,23,23,11.0,3.0,44,81.56,Goal,10.52,3.17,False,1,0,
1,24,24,11.0,3.0,41,90.86,Goal,10.96,2.77,False,1,0,
1,25,25,11.0,3.0,48,82.0,Goal,11.12,3.08,False,1,0,
1,26,26,11.0,3.0,41,80.45,Goal,10.68,3.06,False,1,0,
1,27,27,11.0,3.0,42,79.76,Goal,11.25,3.13,False,1,0,
1,28,28,11.0,3.0,35,89.63,Goal,10.76,2.75,False,1,0,
1,29,29,11.0,3.0,37,82.85,Goal,10.82,2.91,False,1,0,
1,30,30,11.0,3.0,45,85.63,Goal,11.15,2.69,False,1,0,
2,1,31,15.0,5.0,41,-40.6,Collision,10.95,3.4,False,1,2,Plan_T2
2,2,32,15.0,5.0,24,-44.52,Collision,10.53,2.4,False,1,1,Plan_T2
2,3,33,15.0,5.0,41,87.31,Goal,15.22,4.83,False,1,2,Plan_T2
2,4,34,15.0,5.0,42,74.84,Goal,15.12,5.14,False,1,2,Plan_T2
2,5,35,15.0,5.0,20,-37.77,Collision,12.09,3.12,False,1,2,Plan_T2
2,6,36,15.0,5.0,20,-35.92,Collision,10.47,2.69,False,1,1,Plan_T2
2,7,37,15.0,5.0,42,83.53,Goal,14.96,5.14,False,1,1,Plan_T2
2,8,38,15.0,5.0,10,-48.7,Collision,10.66,3.47,False,1,1,Plan_T2
2,9,39,15.0,5.0,45,80.16,Goal,15.18,5.16,False,1,0,
2,10,40,15.0,5.0,30,-40.38,Collision,11.7,2.33,False,1,1,Plan_T2
2,11,41,15.0,5.0,49,77.51,Goal,15.33,4.5,False,1,0,
2,12,42,15.0,5.0,42,83.56,Goal,15.2,4.95,False,1,1,Plan_T2
2,13,43,15.0,5.0,49,77.79,Goal,15.06,4.71,False,1,0,
2,14,44,15.0,5.0,42,85.08,Goal,14.79,4.96,False,1,0,
2,15,45,15.0,5.0,41,77.45,Goal,15.05,5.22,False,1,0,
2,16,46,15.0,5.0,37,84.94,Goal,14.89,4.68,False,1,0,
2,17,47,15.0,5.0,40,90.58,Goal,15.02,5.02,True,2,0,
2,18,48,15.0,5.0,42,85.23,Goal,14.82,5.15,False,2,0,
2,19,49,15.0,5.0,46,83.9,Goal,14.8,5.08,False,2,0,
2,20,50,15.0,5.0,26,-37.78,Collision,12.65,2.69,False,2,0,
2,21,51,15.0,5.0,42,86.66,Goal,14.86,4.72,False,2,0,
2,22,52,15.0,5.0,50,79.61,Goal,14.78,5.05,False,2,1,Plan_T2
2,23,53,15.0,5.0,48,81.24,Goal,15.13,4.73,False,2,0,
2,24,54,15.0,5.0,48,80.85,Goal,14.95,5.12,False,2,0,
2,25,55,15.0,5.0,48,81.09,Goal,15.36,4.83,False,2,0,
2,26,56,15.0,5.0,39,81.93,Goal,14.83,5.13,False,2,0,
2,27,57,15.0,5.0,43,76.66,Goal,14.62,5.08,False,2,0,
2,28,58,15.0,5.0,42,82.53,Goal,15.09,5.08,False,2,0,
2,29,59,15.0,5.0,44,85.21,Goal,14.93,4.75,False,2,0,
2,30,60,15.0,5.0,36,83.13,Goal,15.29,5.04,False,2,0,
3,1,61,8.0,6.0,29,-41.06,Collision,5.7,4.3,False,2,2,Plan_T3
3,2,62,8.0,6.0,46,77.69,Goal,8.0,6.01,False,2,2,Plan_T3
3,3,63,8.0,6.0,41,-35.24,Collision,4.19,4.43,False,2,1,Plan_T3
3,4,64,8.0,6.0,48,81.0,Goal,8.25,5.9,False,2,3,Plan_T3
3,5,65,8.0,6.0,42,-47.01,Collision,4.04,4.23,False,2,1,Plan_T3
3,6,66,8.0,6.0,20,-40.34,Collision,3.19,4.4,False,2,1,Plan_T3
3,7,67,8.0,6.0,31,-39.07,Collision,5.68,4.65,False,2,1,Plan_T3
3,8,68,8.0,6.0,47,78.79,Goal,7.92,5.69,False,2,1,Plan_T3
3,9,69,8.0,6.0,38,-36.78,Collision,3.5,3.38,False,2,0,
3,10,70,8.0,6.0,53,80.05,Goal,8.59,5.94,False,2,1,Plan_T3
3,11,71,8.0,6.0,52,75.09,Goal,8.25,6.2,False,2,0,
3,12,72,8.0,6.0,45,88.1,Goal,8.22,5.93,False,2,1,Plan_T3
3,13,73,8.0,6.0,43,79.39,Goal,7.84,6.38,False,2,0,
3,14,74,8.0,6.0,44,83.06,Goal,7.77,5.65,False,2,0,
3,15,75,8.0,6.0,49,81.25,Goal,7.71,6.0,True,3,0,
3,16,76,8.0,6.0,37,91.81,Goal,7.98,6.18,False,3,0,
3,17,77,8.0,6.0,46,84.49,Goal,8.18,6.05,False,3,0,
3,18,78,8.0,6.0,39,86.68,Goal,7.92,6.01,False,3,0,
3,19,79,8.0,6.0,48,77.68,Goal,8.5,5.87,False,3,0,
3,20,80,8.0,6.0,45,75.27,Goal,8.0,6.14,False,3,0,
3,21,81,8.0,6.0,50,82.26,Goal,8.05,6.06,False,3,0,
3,22,82,8.0,6.0,42,88.54,Goal,7.96,6.0,False,3,0,
3,23,83,8.0,6.0,36,82.03,Goal,8.1,5.84,False,3,0,
3,24,84,8.0,6.0,53,80.94,Goal,8.16,6.15,False,3,0,
3,25,85,8.0,6.0,38,82.28,Goal,8.45,6.21,False,3,0,
3,26,86,8.0,6.0,35,91.98,Goal,7.79,6.24,False,3,0,
3,27,87,8.0,6.0,44,84.54,Goal,8.09,6.38,False,3,0,
3,28,88,8.0,6.0,48,84.26,Goal,8.17,6.12,False,3,0,
3,29,89,8.0,6.0,39,83.42,Goal,8.48,6.18,False,3,0,
3,30,90,8.0,6.0,39,83.56,Goal,7.7,6.0,False,3,0,
