Task_ID,Task_Episode,Total_Episode,Goal_X,Goal_Y,Steps,TotalReward,Result,Final_X,Final_Y,Is_Converged,Acquired_Policies,UnsafeActions,SAP_Plan
1,1,1,11.0,3.0,21,-39.68,Collision,8.49,0.63,False,0,2,Plan_T1
1,2,2,11.0,3.0,32,-44.24,Collision,7.34,1.3,False,0,2,Plan_T1
1,3,3,11.0,3.0,23,-40.54,Collision,7.19,0.54,False,0,2,Plan_T1
1,4,4,11.0,3.0,15,-26.97,Collision,6.8,0.92,False,0,2,Plan_T1
1,5,5,11.0,3.0,21,-33.69,Collision,7.93,0.09,False,0,2,Plan_T1
1,6,6,11.0,3.0,21,-35.96,Collision,8.71,1.79,False,0,1,Plan_T1
1,7,7,11.0,3.0,32,-45.98,Collision,8.51,0.6,False,0,2,Plan_T1
1,8,8,11.0,3.0,23,-44.97,Collision,7.5,1.72,False,0,1,Plan_T1
1,9,9,11.0,3.0,43,77.67,Goal,10.46,2.7,False,0,0,
1,10,10,11.0,3.0,50,80.59,Goal,10.9,3.11,False,0,1,Plan_T1
1,11,11,11.0,3.0,39,-44.46,Collision,8.37,0.68,False,0,1,Plan_T1
1,12,12,11.0,3.0,45,84.72,Goal,11.21,2.99,False,0,1,Plan_T1
1,13,13,11.0,3.0,19,-44.78,Collision,8.32,1.9,False,0,1,Plan_T1
1,14,14,11.0,3.0,35,-35.19,Collision,6.87,0.65,False,0,0,
1,15,15,11.0,3.0,17,-48.83,Collision,8.28,0.06,False,0,0,
1,16,16,11.0,3.0,42,82.55,Goal,11.1,3.08,False,0,0,
1,17,17,11.0,3.0,29,-40.74,Collision,6.79,1.52,False,0,0,
1,18,18,11.0,3.0,48,83.37,Goal,10.82,2.92,False,0,1,Plan_T1
1,19,19,11.0,3.0,38,82.02,Goal,10.77,3.32,False,0,0,
1,20,20,11.0,3.0,52,79.37,Goal,10.92,2.85,False,0,0,
1,21,21,11.0,3.0,27,-44.26,Collision,8.7,0.58,False,0,0,
1,22,22,11.0,3.0,48,81.45,Goal,11.17,3.2,False,0,0,
1,23,23,11.0,3.0,43,85.16,Goal,11.17,3.03,False,0,0,
1,24,24,11.0,3.0,31,-48.39,Collision,7.06,1.07,False,0,0,
1,25,25,11.0,3.0,37,85.45,Goal,11.16,3.13,True,1,0,
1,26,26,11.0,3.0,48,79.79,Goal,10.88,3.05,False,1,0,
1,27,27,11.0,3.0,47,82.19,Goal,10.77,2.94,False,1,0,
1,28,28,11.0,3.0,41,84.97,Goal,11.04,2.8,False,1,1,Plan_T1
1,29,29,11.0,3.0,52,74.11,Goal,10.94,3.05,False,1,0,
1,30,30,11.0,3.0,55,77.82,Goal,11.0,3.02,False,1,0,
2,1,31,15.0,5.0,12,-42.54,Collision,11.66,2.03,False,1,2,Plan_T2
2,2,32,15.0,5.0,38,-39.11,Collision,10.84,3.1,False,1,2,Plan_T2
2,3,33,15.0,5.0,19,-37.7,Collision,11.17,2.27,False,1,1,Plan_T2
2,4,34,15.0,5.0,11,-46.53,Collision,12.07,2.82,False,1,1,Plan_T2
2,5,35,15.0,5.0,27,-43.6,Collision,10.29,2.79,False,1,2,Plan_T2
2,6,36,15.0,5.0,24,-46.18,Collision,12.3,2.48,False,1,1,Plan_T2
2,7,37,15.0,5.0,21,-40.12,Collision,11.22,3.33,False,1,1,Plan_T2
2,8,38,15.0,5.0,25,-41.4,Collision,11.27,2.62,False,1,1,Plan_T2
2,9,39,15.0,5.0,28,-36.92,Collision,12.14,3.39,False,1,1,Plan_T2
2,10,40,15.0,5.0,51,84.64,Goal,14.91,5.05,False,1,1,Plan_T2
2,11,41,15.0,5.0,28,-43.25,Collision,12.25,2.9,False,1,0,
2,12,42,15.0,5.0,17,-35.68,Collision,10.72,2.0,False,1,0,
2,13,43,15.0,5.0,13,-45.86,Collision,10.77,3.36,False,1,1,Plan_T2
2,14,44,15.0,5.0,40,84.74,Goal,14.8,4.97,False,1,0,
2,15,45,15.0,5.0,41,-44.35,Collision,12.14,2.78,False,1,1,Plan_T2
2,16,46,15.0,5.0,47,77.3,Goal,14.79,5.43,False,1,0,
2,17,47,15.0,5.0,38,-39.17,Collision,11.09,2.7,False,1,0,
2,18,48,15.0,5.0,49,77.48,Goal,14.86,4.94,False,1,1,Plan_T2
2,19,49,15.0,5.0,44,89.9,Goal,14.93,4.72,False,1,0,
2,20,50,15.0,5.0,46,70.65,Goal,14.8,4.97,False,1,0,
2,21,51,15.0,5.0,35,84.92,Goal,15.06,4.87,False,1,0,
2,22,52,15.0,5.0,43,83.72,Goal,15.12,4.59,True,2,0,
2,23,53,15.0,5.0,26,-48.75,Collision,11.39,2.26,False,2,0,
2,24,54,15.0,5.0,45,87.16,Goal,14.7,5.04,False,2,0,
2,25,55,15.0,5.0,47,88.35,Goal,15.1,4.74,False,2,0,
2,26,56,15.0,5.0,48,79.29,Goal,15.39,4.83,False,2,0,
2,27,57,15.0,5.0,55,74.29,Goal,15.11,4.62,False,2,0,
2,28,58,15.0,5.0,45,83.84,Goal,15.12,4.96,False,2,0,
2,29,59,15.0,5.0,38,83.28,Goal,14.96,4.94,False,2,0,
2,30,60,15.0,5.0,44,76.23,Goal,14.84,4.68,False,2,0,
3,1,61,8.0,6.0,25,-40.89,Collision,3.66,3.32,False,2,2,Plan_T3
3,2,62,8.0,6.0,30,-37.28,Collision,4.99,3.61,False,2,2,Plan_T3
3,3,63,8.0,6.0,26,-42.48,Collision,4.97,4.37,False,2,2,Plan_T3
